module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation accuracy,accuracy drop,trial seed
1,1,conv1,[14  1  6  1],1.0,-127.0,75.27402496921326,-0.07647208379842141,15
7,2,layer1.0.conv1,[40 40  0  0],-1.0,127.0,71.11904153233124,4.15498343688202,15
7,3,layer1.0.conv1,[40 43  0  0],-6.0,122.0,56.13051235131879,14.988529181012446,15
9,4,layer1.0.conv2,[41 40  1  2],-3.0,125.0,36.808564867986696,19.321947483332096,15
7,5,layer1.0.conv1,[40 62  0  0],-15.0,113.0,12.13357124625193,24.674993621734764,15
9,6,layer1.0.conv2,[41 40  2  2],-6.0,122.0,2.1157277591247325,10.017843487127198,15
11,7,layer1.0.conv3,[35 41  0  0],-1.0,127.0,1.1470813153199082,0.9686464438048243,15
123,8,layer4.0.conv1,[494 571   0   0],-1.0,127.0,0.688248789191945,0.4588325261279632,15
15,9,layer1.0.downsample.0,[35 62  0  0],-13.0,115.0,0.2549069589599796,0.4333418302319654,15
123,10,layer4.0.conv1,[397 815   0   0],-20.0,108.0,0.22941626306398163,0.025490695895997978,15
142,11,layer4.2.conv1,[262 727   0   0],-5.0,123.0,0.1274534794799898,0.10196278358399183,15
